software,model,metric,value,stata_value,diff_vs_stata,abs_diff_vs_stata,rel_abs_diff_vs_stata
Python,Z1,F_usual,2.6611293924164228,2.661129392642621,-2.2619817130475894e-10,2.2619817130475894e-10,8.500081654433721e-11
Python,Z1,p_F,0.1093725083546839,0.10937251,-1.6453161055807186e-09,1.6453161055807186e-09,1.5043232578101375e-08
Python,Z1,F_eff_MOP,2.661129392634808,2.6611295,-1.0736519184817439e-07,1.0736519184817439e-07,4.034572231384245e-08
Python,Z2,beta_p,-0.2614732498658298,-0.2614732498502075,-1.5622336757559196e-11,1.5622336757559196e-11,5.97473614088971e-11
Python,Z2,se_p,0.081467260510143,0.07827121,0.003196050510143003,0.003196050510143003,0.04083302800790998
Python,Z2,pval_p,0.0013294290039434,0.00083595881,0.0004934701939434,0.0004934701939434,0.5903044361042143
Python,Z2,F_usual,29.37447728615041,29.37447728595109,1.993178955217445e-10,1.993178955217445e-10,6.785410803448479e-12
Python,Z2,p_F,5.29433867051426e-09,5.2943387e-09,-2.948573967206933e-17,2.948573967206933e-17,5.569296061861197e-09
Python,Z2,F_eff_MOP,28.913783069762196,28.913782,1.0697621952715508e-06,1.0697621952715508e-06,3.69983489282568e-08
Python,Z2,hansen_p,0.0001334653986918,0.00013346539,8.691799992417704e-12,8.691799992417704e-12,6.512399950592213e-08
Python,Z3,beta_p,-0.2558888917746316,-0.2558888917816231,6.991518475274461e-12,6.991518475274461e-12,2.732247744947467e-11
Python,Z3,se_p,0.0770320430780795,0.074009992,0.003022051078079499,0.003022051078079499,0.04083301452159999
Python,Z3,pval_p,0.0008942275465454,0.00054523029,0.00034899725654540003,0.00034899725654540003,0.6400914676721281
Python,Z3,F_usual,23.22372947711088,23.22372947737356,-2.6268054398315144e-10,2.6268054398315144e-10,1.1310868232386022e-11
Python,Z3,p_F,2.662695541307039e-09,2.6626956e-09,-5.869296101444715e-17,5.869296101444715e-17,2.2042685245150496e-08
Python,Z3,F_eff_MOP,23.97502034613849,23.975019,1.3461384895663286e-06,1.3461384895663286e-06,5.6147546309194947e-08
Python,Z3,hansen_p,0.000648046518712,0.00064804649,2.8712000008437877e-11,2.8712000008437877e-11,4.430546334482558e-08
Python,Z4,beta_p,-2.7391523154192328,-2.739152315413157,-6.075584479958707e-12,6.075584479958707e-12,2.2180528062537854e-12
Python,Z4,se_p,2.540550916951404,2.4388874,0.10166351695140374,0.10166351695140374,0.041684383195142075
Python,Z4,pval_p,0.2809567499390303,0.26138842,0.019568329939030293,0.019568329939030293,0.07486303310234743
Python,Z4,F_usual,0.9976750086005765,0.9976750084855468,1.1502965246990016e-10,1.1502965246990016e-10,1.1529771868748437e-10
Python,Z4,p_F,0.3229886355598468,0.32298863,5.559846805169855e-09,5.559846805169855e-09,1.721375394907819e-08
Python,Z4,F_eff_MOP,0.9976750084820082,0.997675,8.482008206911473e-09,8.482008206911473e-09,8.501774833399126e-09
Python,Z5,beta_p,-0.2745000933900599,-0.2745000933709887,-1.9071189072406014e-11,1.9071189072406014e-11,6.947607499219017e-11
Python,Z5,se_p,0.1084162812465492,0.10407786,0.004338421246549207,0.004338421246549207,0.04168438173641548
Python,Z5,pval_p,0.0113443621872732,0.0083532063,0.0029911558872732,0.0029911558872732,0.3580847616888379
Python,Z5,F_usual,24.222378037122155,24.22237803710172,2.043520908046048e-11,2.043520908046048e-11,8.4364999378507e-13
Python,Z5,p_F,6.521381323275576e-08,6.5213811e-08,2.232755767314523e-15,2.232755767314523e-15,3.4237468000674325e-08
Python,Z5,F_eff_MOP,22.863237004777456,22.863237,4.777454876148113e-09,4.777454876148113e-09,2.0895793872705395e-10
Python,Z5,hansen_p,0.0001387352772404,0.00013873528,-2.7596000029377066e-12,2.7596000029377066e-12,1.989111928081816e-08
Python,Z6,beta_p,-1.2328456510601882,-1.232845651046872,-1.3316237001959053e-11,1.3316237001959053e-11,1.0801219918042099e-11
Python,Z6,se_p,0.6520792141036328,0.62598538,0.02609383410363275,0.02609383410363275,0.04168441458430347
Python,Z6,pval_p,0.0586727024634471,0.048901673,0.0097710294634471,0.0097710294634471,0.19980971741901551
Python,Z6,F_usual,1.723808386460194,1.723808386491684,-3.148992178125809e-11,3.148992178125809e-11,1.8267646234943066e-11
Python,Z6,p_F,0.1897084779077515,0.18970847,7.907751509161898e-09,7.907751509161898e-09,4.168370294253018e-08
Python,Z6,F_eff_MOP,1.5474461375317174,1.5474461,3.753171751164075e-08,3.753171751164075e-08,2.4253974023160324e-08
Python,Z6,hansen_p,0.1577045533317381,0.15770455,3.331738107625881e-09,3.331738107625881e-09,2.1126455182338628e-08
Python,Z7,beta_p,-0.269088979450288,-0.2690889794417178,-8.570200105140202e-12,8.570200105140202e-12,3.184894499552119e-11
Python,Z7,se_p,0.0884369385470706,0.084898017,0.0035389215470705976,0.0035389215470705976,0.041684384066009425
Python,Z7,pval_p,0.00234449157457,0.0015267226,0.0008177689745699998,0.0008177689745699998,0.5356369091346389
Python,Z7,F_usual,17.30943284867974,17.30943284870789,-2.814815047713637e-11,2.814815047713637e-11,1.6261740475937989e-12
Python,Z7,p_F,1.3429803864465253e-08,1.3429804e-08,-1.3553474774178546e-16,1.3553474774178546e-16,1.0092086804973882e-08
Python,Z7,F_eff_MOP,12.4844545554161,12.484454,5.554161006671166e-07,5.554161006671166e-07,4.4488617657377455e-08
Python,Z7,hansen_p,0.0013069760533774,0.0013069761,-4.6622600094817224e-11,4.6622600094817224e-11,3.5672113740119055e-08
