idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar
33,NB,BigBiscuitShdWt,Adult,2.79,0.009899999999999999,-3.200115078867583,156.0,1.2,9.6,3.05,0.0,0.99,0.2429,1.0,3,1,486.0,7281.0,3,330.0,6795.0,2.2,80.4,3,1.0000000000000002,78.2,9.6,505.40000000000003,3,0.0,495.8,3,50,47,0.3293,0.030063771636805344,-3.504434432241774,25,24,25,4116.0,3960.0,3165.0,52.6,51.4,27.800000000000004,219.6,210.0,285.80000000000007
34,PT,HoneyBunchesofOats,Adult,2.85,0.0095,-3.241358037401632,125.0,2.2,6.0,3.18,3.749,0.95,0.2429,1.0,4,1,950.0,7281.0,6,825.0,6331.0,10.7,80.4,6,8.5,69.7,66.5,505.40000000000003,6,60.5,438.90000000000003,6,50,44,0.3293,0.028849073792894017,-3.5456773907758237,25,24,25,4116.0,3991.0,3165.0,52.6,50.4,27.800000000000004,219.6,213.6,285.80000000000007
35,PT,GreatGraines,Adult,2.9,0.0089,-3.306598559270033,215.0,5.5,10.5,3.43,2.648,0.89,0.2429,1.0,4,1,950.0,7281.0,6,735.0,6331.0,10.7,80.4,6,5.199999999999999,69.7,66.5,505.40000000000003,6,56.0,438.90000000000003,6,50,44,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3901.0,3165.0,52.6,47.1,27.800000000000004,219.6,209.1,285.80000000000007
36,GM,OtmlRaisinCrisp,Adult,2.71,0.0097,-3.22052395049879,210.0,2.5,19.0,3.04,1.641,0.97,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,29.799999999999997,48.10000000000001,202.0,505.40000000000003,18,183.0,303.40000000000003,18,50,32,0.3293,0.029456422714849682,-3.5248433038729816,25,24,25,4116.0,3906.0,3165.0,52.6,50.1,27.800000000000004,219.6,200.6,285.80000000000007
37,QK,OatSquares,Adult,2.43,0.009399999999999999,-3.251940146732169,220.0,3.0,9.0,2.71,1.472,0.94,0.2429,1.0,5,1,665.0,7281.0,4,445.0,6616.0,13.5,80.4,4,10.5,66.9,47.3,505.40000000000003,4,38.3,458.1,4,50,46,0.3293,0.028545399331916185,-3.5562595001063606,25,24,25,4116.0,3896.0,3165.0,52.6,49.6,27.800000000000004,219.6,210.6,285.80000000000007
38,RL,RiceChex,Adult,3.4,0.0089,-3.306598559270033,120.0,0.0,2.0,3.53,0.875,0.89,0.2429,1.0,6,1,330.0,7281.0,2,210.0,6951.0,2.7,80.4,2,2.7,77.7,16.0,505.40000000000003,2,14.0,489.40000000000003,2,50,48,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3996.0,3165.0,52.6,52.6,27.800000000000004,219.6,217.6,285.80000000000007
39,GM,TotalRaisinBran,Adult,3.0,0.0089,-3.306598559270033,180.0,1.0,19.0,3.5,1.874,0.89,0.2429,1.0,1,1,2550.0,7281.0,18,2370.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,183.0,303.40000000000003,18,50,32,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3936.0,3165.0,52.6,51.6,27.800000000000004,219.6,200.6,285.80000000000007
40,KG,Product19,Adult,3.38,0.0089,-3.306598559270033,100.0,0.0,4.0,3.7,1.408,0.89,0.2429,1.0,2,1,2300.0,7281.0,17,2200.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,160.0,341.40000000000003,17,50,33,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,4016.0,3165.0,52.6,52.6,27.800000000000004,219.6,215.6,285.80000000000007
41,KG,AppleJacks,Kids,3.64,0.0084,-3.3644181301588594,120.0,1.0,16.0,3.91,1.465,0.84,0.2429,1.0,2,3,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,148.0,341.40000000000003,17,50,33,0.1215,0.0691358024691358,-2.6716825569313354,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,129.8,359.6
42,QK,CaptCrunch,Kids,2.55,0.0083,-3.3763943212055745,105.0,1.5,11.5,2.86,1.714,0.83,0.2429,1.0,5,3,665.0,7281.0,4,560.0,6616.0,13.5,80.4,4,12.0,66.9,47.3,505.40000000000003,4,35.8,458.1,4,50,46,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415.0,1310.0,5866.0,13.8,12.3,66.60000000000001,145.8,134.3,359.6
43,NB,ShreddedWheat,Adult,2.82,0.008,-3.4132082943282915,160.0,0.5,0.0,3.0,2.925,0.8,0.2429,1.0,3,1,486.0,7281.0,3,326.0,6795.0,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.40000000000003,3,9.6,495.8,3,50,47,0.3293,0.024293956878226542,-3.717527647702483,25,24,25,4116.0,3956.0,3165.0,52.6,52.1,27.800000000000004,219.6,219.6,285.80000000000007
44,PT,FruityPebbles,Kids,3.21,0.0083,-3.3763943212055745,110.0,1.0,12.0,3.48,1.71,0.83,0.2429,1.0,4,3,950.0,7281.0,6,840.0,6331.0,10.7,80.4,6,9.7,69.7,66.5,505.40000000000003,6,54.5,438.90000000000003,6,50,44,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415.0,1305.0,5866.0,13.8,12.8,66.60000000000001,145.8,133.8,359.6
45,GM,Clusters,Fam,3.14,0.0078000000000000005,-3.438526102312581,210.0,3.5,14.0,3.52,1.425,0.78,0.2429,1.0,1,2,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,28.799999999999997,48.10000000000001,202.0,505.40000000000003,18,188.0,303.40000000000003,18,50,32,0.3069,0.02541544477028348,-3.6723982279301444,13,12,37,1750.0,1540.0,5531.0,14.0,10.5,66.4,140.0,126.0,365.40000000000003
46,KG,CinnamonMiniBuns,Fam,2.75,0.0076,-3.4645015887158417,120.0,0.5,12.0,3.14,0.002,0.76,0.2429,1.0,2,2,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,18.5,61.400000000000006,164.0,505.40000000000003,17,152.0,341.40000000000003,17,50,33,0.3069,0.02476376669925057,-3.698373714333405,13,12,37,1750.0,1630.0,5531.0,14.0,13.5,66.4,140.0,128.0,365.40000000000003
47,KG,DoubleDipCrunch,Adult,3.01,0.0073,-3.504775487853782,110.0,0.0,11.0,3.52,1.454,0.73,0.2429,1.0,2,1,2300.0,7281.0,17,2190.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,153.0,341.40000000000003,17,50,33,0.3293,0.02216823565138172,-3.809094841227973,25,24,25,4116.0,4006.0,3165.0,52.6,52.6,27.800000000000004,219.6,208.6,285.80000000000007
48,GM,MultiGrainCheerios,Fam,3.34,0.0075,-3.4777468154658626,110.0,1.0,15.0,3.74,2.52,0.75,0.2429,1.0,1,2,2550.0,7281.0,18,2440.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,187.0,303.40000000000003,18,50,32,0.3069,0.024437927663734114,-3.711618941083426,13,12,37,1750.0,1640.0,5531.0,14.0,13.0,66.4,140.0,125.0,365.40000000000003
49,PT,Honeycomb,Kids,3.4,0.0074,-3.4911698357980026,110.0,0.0,11.0,3.67,2.567,0.74,0.2429,1.0,4,3,950.0,7281.0,6,840.0,6331.0,10.7,80.4,6,10.7,69.7,66.5,505.40000000000003,6,55.5,438.90000000000003,6,50,44,0.1215,0.060905349794238686,-2.798434262570479,12,11,38,1415.0,1305.0,5866.0,13.8,13.8,66.60000000000001,145.8,134.8,359.6
50,QK,Popeye,Kids,1.77,0.0067,-3.590542309611207,120.0,1.0,13.3,1.77,0.0,0.67,0.2429,1.0,5,3,665.0,7281.0,4,545.0,6616.0,13.5,80.4,4,12.5,66.9,47.3,505.40000000000003,4,34.0,458.1,4,50,46,0.1215,0.0551440329218107,-2.8978067363836826,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,132.5,359.6
