modelo,parametro,estimativa_R,erro_padrao_R,estat_t_R,estimativa_Stata,erro_padrao_Stata,estat_t_Stata,dif_estimativa,abs_dif_estimativa,dif_erro_padrao,abs_dif_erro_padrao,dif_estat_t,abs_dif_estat_t
irrestrito,gfish_pork,-0.134050341378952,0.06478174079959617,-2.0692611795295814,-0.1340502612277918,0.064781703,-2.0692611,-8.015116020887447e-8,8.015116020887447e-8,3.779959617533635e-8,3.779959617533635e-8,-7.952958158696788e-8,7.952958158696788e-8
irrestrito,gfish_poult,0.1163455379177094,0.08030775077836327,1.4487460648574848,0.1163453991355315,0.080307685,1.4487455,1.3878217788865221e-7,1.3878217788865221e-7,6.577836327015252e-8,6.577836327015252e-8,5.648574847860743e-7,5.648574847860743e-7
irrestrito,gfish_fish,0.1220318266216438,0.02096298232342419,5.821300840638716,0.1220318275364659,0.02096298,5.8213015,-9.148220930788042e-10,9.148220930788042e-10,2.3234241891545437e-9,2.3234241891545437e-9,-6.593612837946239e-7,6.593612837946239e-7
irrestrito,b_fish,-0.0489879412789378,0.04911180823142569,-0.9974778580356032,-0.0489879499150917,0.049111795,-0.99747831,8.636153903118782e-9,8.636153903118782e-9,1.3231425691206944e-8,1.3231425691206944e-8,4.5196439679706657e-7,4.5196439679706657e-7
homogeneidade,a_bfvl,0.4067852572306947,0.2359860467083298,1.7237682604745972,0.4067851410270495,0.23598607,1.7237676,1.162036452062587e-7,1.162036452062587e-7,-2.3291670203651194e-8,2.3291670203651194e-8,6.604745972360604e-7,6.604745972360604e-7
homogeneidade,gbfvl_bfvl,0.10843595088257985,0.0785521243993925,1.3804330781844325,0.108436053053652,0.078552119,1.3804344,-1.021710721582636e-7,1.021710721582636e-7,5.3993925025475065e-9,5.3993925025475065e-9,-1.3218155674454835e-6,1.3218155674454835e-6
homogeneidade,gbfvl_pork,0.28728752237441313,0.23061869275157068,1.2457252226465778,0.2872880220744511,0.23061867,1.2457275,-4.997000379591832e-7,4.997000379591832e-7,2.2751570682988387e-8,2.2751570682988387e-8,-2.27735342228641e-6,2.27735342228641e-6
homogeneidade,gbfvl_fish,-0.328745367557449,0.054738314092776,-6.005763476753381,-0.3287454581658706,0.054738313,-6.0057654,9.060842159902549e-8,9.060842159902549e-8,1.0927760016321564e-9,1.0927760016321564e-9,1.9232466188512376e-6,1.9232466188512376e-6
homogeneidade,b_bfvl,0.0460440731617382,0.175573186537916,0.26225002843355427,0.0460441599620479,0.1755732,0.26225051,-8.680030970376063e-8,8.680030970376063e-8,-1.3462084003101893e-8,1.3462084003101893e-8,-4.815664457202828e-7,4.815664457202828e-7
homogeneidade,a_pork,0.3758174578410944,0.09718340323301676,3.867095052639764,0.3758175096791041,0.097183384,3.8670962,-5.183800971808594e-8,5.183800971808594e-8,1.9233016762543187e-8,1.9233016762543187e-8,-1.1473602361533608e-6,1.1473602361533608e-6
